               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.025459,           0.0094753,           0.0013068,             0.98107,             0.96859,             0.99145,             0.88426,           0.0041913,           0.0019805,          0.00015475,            0.070004,           0.0033329,           0.0033329
                   1,            0.013971,           0.0049815,          0.00019846,             0.98317,              0.9873,             0.99188,              0.9395,           0.0027004,            0.001424,          6.6819e-05,            0.039344,           0.0060062,           0.0060062
                   2,            0.010525,           0.0042624,          0.00012562,             0.98926,             0.98986,             0.99262,             0.94917,           0.0024449,           0.0012931,          3.5531e-05,           0.0080243,           0.0080196,           0.0080196
                   3,           0.0088666,           0.0038601,          9.7887e-05,             0.99145,             0.99005,              0.9939,             0.95868,           0.0025282,           0.0012791,          2.3691e-05,             0.00703,             0.00703,             0.00703
                   4,           0.0082705,            0.003636,          8.1939e-05,             0.99351,             0.98974,             0.99411,             0.96584,           0.0024162,            0.001227,          1.9988e-05,             0.00703,             0.00703,             0.00703
                   5,            0.007491,           0.0033884,          7.1507e-05,             0.99259,             0.99112,             0.99447,              0.9716,           0.0021361,           0.0011254,          1.6743e-05,             0.00604,             0.00604,             0.00604
                   6,            0.006983,           0.0032051,          6.7502e-05,             0.99185,             0.99196,             0.99465,             0.97512,           0.0018977,           0.0010313,           1.507e-05,             0.00505,             0.00505,             0.00505
                   7,           0.0062835,           0.0029857,          5.3266e-05,             0.99494,             0.98939,              0.9947,             0.97815,            0.001745,          0.00094889,          1.4388e-05,             0.00406,             0.00406,             0.00406
                   8,           0.0057577,           0.0027869,          4.8541e-05,             0.99336,             0.99296,             0.99485,              0.9801,           0.0016398,          0.00088513,          1.3895e-05,             0.00307,             0.00307,             0.00307
                   9,           0.0050442,           0.0025601,          4.3484e-05,             0.99561,             0.99388,             0.99488,             0.98072,           0.0015566,          0.00082622,          1.3195e-05,             0.00208,             0.00208,             0.00208
