               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.02543,           0.0095226,           0.0012453,             0.99128,             0.98338,              0.9943,             0.89453,           0.0046382,           0.0018714,          0.00017937,            0.070004,           0.0033329,           0.0033329
                   1,            0.013739,           0.0051437,          0.00019206,             0.99432,             0.99563,             0.99483,             0.95743,           0.0029903,            0.001344,          7.6162e-05,            0.039344,           0.0060062,           0.0060062
                   2,           0.0097597,           0.0043323,          0.00010761,             0.99721,             0.99605,             0.99485,              0.9644,           0.0026705,           0.0011875,          3.8003e-05,           0.0080243,           0.0080196,           0.0080196
                   3,           0.0080571,           0.0038906,          8.5374e-05,             0.99496,             0.99715,              0.9949,             0.97139,           0.0027285,           0.0011681,          2.6947e-05,             0.00703,             0.00703,             0.00703
                   4,           0.0075614,           0.0036811,          7.7153e-05,             0.99636,             0.99588,              0.9949,             0.97266,           0.0025665,           0.0011194,          2.1159e-05,             0.00703,             0.00703,             0.00703
                   5,           0.0068545,           0.0034291,           6.488e-05,             0.99671,              0.9966,             0.99489,             0.97668,           0.0022816,           0.0010243,          1.7513e-05,             0.00604,             0.00604,             0.00604
                   6,           0.0063344,           0.0032332,          6.3558e-05,             0.99674,             0.99687,             0.99492,              0.9797,           0.0020485,          0.00094595,          1.5937e-05,             0.00505,             0.00505,             0.00505
                   7,           0.0058007,           0.0030361,          5.1855e-05,             0.99791,             0.99694,             0.99493,             0.98273,           0.0018915,           0.0008635,          1.5057e-05,             0.00406,             0.00406,             0.00406
                   8,           0.0053137,           0.0028336,          4.5487e-05,             0.99767,             0.99735,             0.99494,             0.98514,           0.0017719,          0.00080884,          1.4088e-05,             0.00307,             0.00307,             0.00307
                   9,           0.0047194,           0.0026102,          3.8066e-05,             0.99901,             0.99741,             0.99495,             0.98717,           0.0016947,          0.00075372,          1.3349e-05,             0.00208,             0.00208,             0.00208
