                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.33575,                0.96464,                0.92713,                0.98728,                0.99414,                0.99428,                0.95451,                0.12897,                0.12808,                0.71976,             0.00023747,             0.00023747,             0.00023747
                      2,                0.15357,                0.14805,                0.80883,                 0.9855,                0.98612,                  0.993,                0.97084,                0.12993,                0.14059,                0.72312,              0.0004284,              0.0004284,              0.0004284
                      3,                0.14698,                0.13669,                0.80588,                 0.9811,                0.97639,                 0.9931,                0.97046,                0.13829,                0.19596,                0.72469,              0.0005722,              0.0005722,              0.0005722
                      4,                0.13475,                0.12141,                 0.7984,                0.99503,                 0.9978,                0.99483,                 0.9908,                0.09582,                0.08904,                0.70806,             0.00050194,             0.00050194,             0.00050194
                      5,                0.12384,                0.11019,                0.79649,                0.99611,                0.99623,                0.99491,                0.98963,                0.12858,                 0.1022,                0.71001,             0.00043126,             0.00043126,             0.00043126
                      6,                0.11509,                0.10122,                0.79309,                0.99715,                0.99779,                 0.9949,                0.99076,                0.09851,                0.08984,                0.70762,             0.00036057,             0.00036057,             0.00036057
                      7,                0.10807,                0.09476,                0.79098,                0.99317,                0.99405,                0.99464,                0.99174,                0.08369,                0.07324,                0.70415,             0.00028988,             0.00028988,             0.00028988
                      8,                0.10112,                0.08697,                0.78724,                0.99501,                0.99903,                0.99467,                 0.9921,                 0.0858,                0.07762,                0.70358,              0.0002192,              0.0002192,              0.0002192
                      9,                0.09347,                0.08006,                0.78649,                0.99745,                0.99841,                0.99495,                0.99299,                0.07884,                0.06546,                0.70073,             0.00014851,             0.00014851,             0.00014851
                     10,                0.08775,                0.07239,                0.78406,                0.99601,                 0.9981,                0.99492,                0.99325,                    inf,                0.05998,                0.70022,             7.7826e-05,             7.7826e-05,             7.7826e-05
