                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6507,                 1.3107,                 1.3009,                0.82564,                0.74994,                0.80431,                0.61503,                 1.1117,                    inf,                0.99263,              0.0033303,              0.0033303,              0.0033303
                      2,                 1.0613,                 0.6721,                 0.8716,                0.88484,                0.83503,                0.88114,                0.73071,                0.89974,                    inf,                0.92233,              0.0060039,              0.0060039,              0.0060039
                      3,                0.93686,                0.57192,                0.82294,                0.90481,                0.86186,                0.90803,                0.77581,                0.85373,                    inf,                0.90302,              0.0080175,              0.0080175,              0.0080175
                      4,                0.84143,                0.50421,                0.79702,                0.92118,                0.88422,                 0.9304,                0.82235,                0.77148,                0.49503,                0.87393,                0.00703,                0.00703,                0.00703
                      5,                0.77593,                0.46317,                0.77982,                0.92895,                0.88972,                0.93696,                0.83769,                 0.7377,                0.47648,                0.85885,                0.00604,                0.00604,                0.00604
                      6,                 0.7376,                0.44006,                0.77022,                0.93475,                0.89944,                0.94639,                0.85363,                0.70795,                0.45352,                0.84985,                0.00505,                0.00505,                0.00505
                      7,                0.70342,                 0.4209,                0.76208,                0.93999,                0.90821,                0.95206,                0.86547,                0.68255,                0.43528,                0.84599,                0.00406,                0.00406,                0.00406
                      8,                0.67003,                0.40169,                0.75468,                0.93695,                0.90993,                0.94929,                0.86872,                0.68181,                0.43141,                0.85709,                0.00307,                0.00307,                0.00307
                      9,                0.63742,                  0.383,                0.74645,                0.94142,                0.91056,                0.95138,                0.87488,                0.66991,                0.42496,                0.85249,                0.00208,                0.00208,                0.00208
                     10,                0.60123,                0.36299,                 0.7388,                0.94293,                0.91393,                 0.9535,                0.88148,                0.65698,                0.41756,                0.84845,                0.00109,                0.00109,                0.00109
